month,day,dow,ABANDONED_BUILDING,AIRPORT_OR_AIRCRAFT,ALLEY,ANIMAL_HOSPITAL,APARTMENT,APPLIANCE_STORE,ATHLETIC_CLUB,ATM_AUTOMATIC_TELLER_MACHINE,AUTO,AUTO_BOAT_RV_DEALERSHIP,BANK,BANQUET_HALL,BAR_OR_TAVERN,HAIRDRESSERS,BASEMENT,BOAT_WATERCRAFT,BOWLING_ALLEY,BRIDGE,CAR_WASH,CEMETARY,CHIAGO_HOUSING_AUTHORIY_PROPERTIES,PLACE_OF_WORSHIP,CLEANERS_LAUNDROMAT,CLEANING_STORE,CLUB,COACH_HOUSE,COIN_OPERATED_MACHINE,COLLEGE_UNIVERSITY,COMMERCIAL_BUSINESS_OFFICE,CONSTRUCTION_SITE,CONVENIENCE_STORE,CREDIT_UNION,CTA_TRAIN_CRIME,CTA_BUS_CRIME,CURRENCY_EXCHANGE,DAY_CARE_CENTER,DELIVERY_TRUCK,DEPARTMENT_STORE,DRIVEWAY,DRUG_STORE,DUMPSTER,ELEVATOR,EXPRESSWAY_EMBANKMENT,FACTORY_BUILDING,FARM,FEDERAL_BUILDING,FIRE_STATION,FOREST_PRESERVE,FUNERAL_PARLOR,GANGWAY,GARAGE,GAS_STATION,GOVERNMENT_BUILDING,GROCERY_FOOD_STORE,HALLWAY,HIGHWAY_EXPRESSWAY,HORSE_STABLE,HOSPITAL,HOTEL_MOTEL,HOUSE,JAIL,JUNK_YARD_GARBAGE_DUMP,KENNEL,LAGOON,LAKE,LAUNDRY_ROOM,LIBRARY,LIQUOR_STORE,LIVERY_AUTO,LIVERY_STAND_OFFICE,LOADING_DOCK,MEDICAL_DENTAL_OFFICE,CINEMA,NEWSSTAND,CARE_HOME,OFFICE,OTHER,PARK_PROPERTY,PARKING_LOT,PAWN_SHOP,POLICE_FACILITY_VEHICLE_PARKING_LOT,POOL_ROOM,PORCH,PRAIRIE,PUBLIC_GRAMMAR_SCHOOL,PUBLIC_HIGH_SCHOOL,RAILROAD_PROPERTY,RESIDENCE,RESTAURANT,RETAIL_STORE,RIVER,ROOMING_HOUSE,SAVINGS_AND_LOAN,PRIVATE_SCHOOL,PUBLIC_SCHOOL,SEWER,SIDEWALK,SMALL_RETAIL_STORE,SPORTS_ARENA_STADIUM,STAIRWELL,STREET,TAVERN_PUB,TAXI_CAB,TRAILER,TRUCK,TRUCKING_TERMINAL,VACANT_LOT,VEHICLE_DELIVERY_TRUCK,VEHICLE_RIDE_SERVICE_EG_UBER_LYFT,VEHICLE_NON_COMMERCIAL,VEHICLE_COMMERCIAL,VESTIBULE,WAREHOUSE,WOODED_AREA,YARD,YMCA,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED_CARRY_LICENSE_VIOLATION,CRIM_SEXUAL_ASSAULT,CRIMINAL_DAMAGE,CRIMINAL_SEXUAL_ASSAULT,CRIMINAL_TRESPASS,DECEPTIVE_PRACTICE,DOMESTIC_VIOLENCE,HOMICIDE,HUMAN_TRAFFICKING,INTERFERENCE_WITH_PUBLIC_OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR_LAW_VIOLATION,MOTOR_VEHICLE_THEFT,NARCOTICS,NON_CRIMINAL,OBSCENITY,OFFENSE_INVOLVING_CHILDREN,OTHER_NARCOTIC_VIOLATION,OTHER_OFFENSE,PROSTITUTION,PUBLIC_INDECENCY,PUBLIC_PEACE_VIOLATION,RITUALISM,ROBBERY,SEX_OFFENSE,STALKING,THEFT,WEAPONS_VIOLATION,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
1,1,Wednesday,0,0,17,0,208,1,0,0,0,2,0,0,19,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,4,0,6,0,16,9,1,1,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,1,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,39,1,15,0,1,1,0,0,0,0,0,283,11,0,0,0,0,2,0,0,49,15,0,0,151,1,0,0,0,0,2,0,1,8,0,0,0,0,0,0,0,58,236,24,1,8,104,22,20,117,0,0,0,3,0,1,1,16,30,0,0,36,0,75,0,0,3,0,21,15,0,122,41,40.3,29.9,1003.0,10.0,11.4,20,26.0,52.0,36.0,0.01,999.9,1
1,2,Thursday,0,2,13,1,99,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,1,5,0,15,3,2,0,0,14,0,2,0,0,0,1,0,0,0,0,0,0,0,10,0,7,0,0,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,32,1,16,0,2,0,0,0,0,0,0,147,12,0,0,0,0,0,13,0,44,17,1,0,132,0,0,0,0,0,1,0,0,14,2,0,0,0,0,0,0,38,100,24,0,4,67,0,23,50,0,0,0,5,0,0,2,22,30,0,0,8,0,44,0,0,2,0,20,2,1,171,19,39.6,28.9,1011.8,10.0,13,19,26.0,46.0,33.1,0.01,999.9,0
1,3,Friday,3,4,10,0,97,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0,1,4,0,7,0,13,3,2,0,0,11,1,2,0,0,0,2,0,0,2,0,0,0,0,5,1,11,0,1,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,25,1,12,0,2,0,0,0,0,0,0,155,25,1,0,0,0,2,8,0,68,17,0,0,159,1,0,0,0,0,2,0,0,9,0,0,2,0,0,0,1,57,128,26,1,2,54,2,26,55,0,0,0,4,1,1,0,23,52,0,0,3,0,57,0,0,1,0,20,4,1,152,24,45.8,42.9,1010.3,7.0,10.3,15,999.9,46.9,33.1,0.0,999.9,1
1,4,Saturday,0,2,13,0,107,2,3,2,0,1,1,0,9,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,4,2,9,0,7,4,0,0,0,15,1,3,0,0,0,0,0,0,0,0,0,0,0,10,1,6,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,16,0,2,0,0,0,0,0,0,137,20,0,0,0,0,0,1,0,45,22,1,0,132,1,0,0,0,0,1,0,1,16,1,0,1,0,0,0,3,41,144,29,1,2,67,2,21,32,0,0,0,7,0,0,1,22,40,0,0,5,0,34,0,0,3,0,34,2,1,132,13,45.4,43.9,1005.6,3.6,5.7,9.9,999.9,48.9,44.1,0.08,999.9,1
1,5,Sunday,0,3,17,0,102,1,4,0,0,3,0,0,10,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,9,1,4,2,0,1,0,10,4,5,0,0,0,0,0,0,0,0,0,0,0,14,2,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,17,2,25,0,2,0,0,0,0,0,0,127,13,0,0,0,0,1,1,0,57,12,0,0,141,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,4,46,126,28,0,2,62,0,14,33,0,0,0,3,0,0,0,25,44,0,0,7,1,48,0,0,2,0,37,0,2,118,19,40.1,33.8,1001.6,7.1,17,27,38.1,48.9,36.0,0.38,999.9,1
1,6,Monday,0,3,18,0,108,0,1,0,0,1,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6,1,5,0,22,6,0,1,0,13,2,2,0,0,0,1,0,0,0,0,0,0,0,9,1,12,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,29,1,20,0,3,0,0,0,0,0,0,162,11,0,0,0,1,0,12,0,45,23,0,0,133,1,0,0,0,0,1,0,2,10,0,0,0,0,0,0,2,55,118,31,1,1,66,6,17,63,0,0,0,4,0,0,0,16,47,0,0,7,0,34,0,0,3,0,27,2,0,169,22,33.5,24.0,1013.2,9.9,5.3,15,999.9,43.0,24.1,0.01,999.9,1
1,7,Tuesday,0,5,11,0,94,0,1,2,0,0,4,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,3,2,7,0,14,8,1,1,0,7,0,3,0,0,0,1,0,1,2,0,0,0,0,9,5,5,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,30,0,21,0,0,0,0,0,0,0,0,128,19,0,0,0,0,4,25,0,28,11,0,0,131,1,0,0,0,0,1,0,0,15,0,0,2,0,0,0,0,51,106,25,0,0,57,1,19,72,0,0,0,2,1,0,1,14,42,0,0,2,0,38,0,0,4,0,15,2,1,158,17,39.0,26.6,1016.6,10.0,8,13,999.9,43.0,24.1,0.0,999.9,0
1,8,Wednesday,0,4,4,0,118,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,3,3,9,0,8,3,1,1,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,11,2,8,0,0,0,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29,1,12,1,4,0,0,0,0,0,0,136,17,0,0,0,0,2,23,0,35,15,2,0,141,0,0,0,0,0,1,0,0,11,1,0,1,0,0,0,1,53,109,29,0,2,72,1,14,40,0,1,0,4,1,0,0,17,38,0,0,7,0,57,0,0,9,0,24,1,2,152,13,37.2,31.1,1009.8,8.4,14.1,24.1,35.0,43.0,33.1,0.49,999.9,1
1,9,Thursday,0,2,15,0,100,0,1,0,0,2,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,0,13,6,1,1,0,14,6,2,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,32,3,12,0,1,0,0,0,0,0,0,138,12,0,0,0,0,2,18,0,38,17,0,0,145,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,46,89,25,1,2,54,2,21,56,0,1,0,4,2,1,2,24,41,0,0,7,0,46,0,0,4,0,23,3,0,157,19,29.5,10.8,1030.7,10.0,15.3,22,35.0,42.1,24.1,0.34,999.9,0
1,10,Friday,1,4,11,0,94,0,1,1,0,2,4,0,2,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,4,0,14,3,2,0,0,15,3,2,0,0,0,0,0,1,0,0,0,0,0,8,1,7,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,33,3,17,0,3,1,0,0,0,0,0,122,17,0,0,0,0,3,15,0,54,31,0,0,110,3,0,0,0,0,0,0,0,10,2,0,0,0,0,0,1,43,112,28,0,2,42,2,23,54,0,0,0,3,0,0,3,29,37,0,0,11,0,33,1,0,2,0,20,2,0,163,10,39.7,32.2,1036.6,9.3,11.3,17.1,24.1,50.0,21.0,0.0,999.9,0
