date,year,month,day,dow,dow_num,TOTAL_CRIMES,ABANDONED_BUILDING,AIRPORT_OR_AIRCRAFT,ALLEY,ANIMAL_HOSPITAL,APARTMENT,APPLIANCE_STORE,ATHLETIC_CLUB,ATM_AUTOMATIC_TELLER_MACHINE,AUTO,AUTO_BOAT_RV_DEALERSHIP,BANK,BAR_OR_TAVERN,HAIRDRESSERS,BOAT_WATERCRAFT,BOWLING_ALLEY,BRIDGE,CAR_WASH,CEMETARY,CHIAGO_HOUSING_AUTHORIY_PROPERTIES,PLACE_OF_WORSHIP,CLEANING_STORE,CLUB,COIN_OPERATED_MACHINE,COLLEGE_UNIVERSITY,COMMERCIAL_BUSINESS_OFFICE,CONSTRUCTION_SITE,CONVENIENCE_STORE,CREDIT_UNION,CTA_TRAIN_CRIME,CTA_BUS_CRIME,CURRENCY_EXCHANGE,DAY_CARE_CENTER,DEPARTMENT_STORE,DRIVEWAY,DRUG_STORE,FACTORY_BUILDING,FARM,FEDERAL_BUILDING,FIRE_STATION,FOREST_PRESERVE,GANGWAY,GARAGE,GAS_STATION,GOVERNMENT_BUILDING,GROCERY_FOOD_STORE,HALLWAY,HIGHWAY_EXPRESSWAY,HOSPITAL,HOTEL_MOTEL,HOUSE,JAIL,KENNEL,LAKE,LIBRARY,LIQUOR_STORE,MEDICAL_DENTAL_OFFICE,CINEMA,NEWSSTAND,CARE_HOME,OFFICE,OTHER,PARK_PROPERTY,PARKING_LOT,PAWN_SHOP,POLICE_FACILITY_VEHICLE_PARKING_LOT,POOL_ROOM,PORCH,RESIDENCE,RESTAURANT,RETAIL_STORE,SAVINGS_AND_LOAN,PRIVATE_SCHOOL,PUBLIC_SCHOOL,SIDEWALK,SMALL_RETAIL_STORE,SPORTS_ARENA_STADIUM,STAIRWELL,STREET,TAVERN_PUB,TAXI_CAB,TRUCKING_TERMINAL,VACANT_LOT,VEHICLE_DELIVERY_TRUCK,VEHICLE_RIDE_SERVICE_EG_UBER_LYFT,VEHICLE_NON_COMMERCIAL,VEHICLE_COMMERCIAL,VESTIBULE,WAREHOUSE,YARD,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED_CARRY_LICENSE_VIOLATION,CRIM_SEXUAL_ASSAULT,CRIMINAL_DAMAGE,CRIMINAL_SEXUAL_ASSAULT,CRIMINAL_TRESPASS,DECEPTIVE_PRACTICE,HOMICIDE,HUMAN_TRAFFICKING,INTERFERENCE_WITH_PUBLIC_OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR_LAW_VIOLATION,MOTOR_VEHICLE_THEFT,NARCOTICS,NON_CRIMINAL,OBSCENITY,OFFENSE_INVOLVING_CHILDREN,OTHER_NARCOTIC_VIOLATION,OTHER_OFFENSE,PROSTITUTION,PUBLIC_INDECENCY,PUBLIC_PEACE_VIOLATION,RITUALISM,ROBBERY,SEX_OFFENSE,STALKING,THEFT,WEAPONS_VIOLATION,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2019-01-01,2019,1,1,Tuesday,2,1076,1,0,23,0,220,0,0,1,0,2,4,16,0,0,0,0,0,1,5,1,0,0,0,0,6,0,3,0,11,6,0,2,10,3,1,1,0,0,0,0,0,0,10,3,5,0,0,6,10,0,0,0,0,0,0,0,0,0,3,0,55,1,20,0,4,0,0,320,29,0,0,1,8,51,14,1,0,179,4,2,0,0,0,3,8,1,0,0,0,0,63,218,28,0,11,124,9,16,152,0,0,7,2,2,2,33,36,0,0,52,0,80,1,0,5,0,26,17,0,153,39,47.4,41.6,1009.2,5.4,18.3,29.9,41.0,54.0,39.9,0.84,999.9,1
2019-01-02,2019,1,2,Wednesday,3,655,1,3,10,0,105,1,1,0,0,0,3,6,0,0,0,0,0,0,4,1,0,0,1,1,5,0,5,0,19,3,1,0,12,2,3,1,0,0,1,0,0,0,11,0,8,0,0,3,1,0,0,0,0,1,0,1,0,0,1,0,23,0,11,0,5,0,0,157,14,0,0,1,0,44,12,1,0,148,1,1,0,1,2,0,11,1,0,1,0,1,43,105,33,1,3,61,2,16,63,0,0,3,0,0,0,30,49,0,0,0,0,44,0,0,2,0,23,3,1,152,20,35.0,23.4,1022.9,10.0,10.3,14.0,24.1,55.0,28.0,0.61,999.9,0
2019-01-03,2019,1,3,Thursday,4,752,1,5,17,0,102,0,1,3,2,1,7,1,0,0,1,0,0,0,1,2,0,0,0,0,3,2,9,1,13,2,1,1,14,3,4,1,0,1,0,0,0,0,6,1,6,0,1,3,3,0,0,0,0,0,0,0,0,0,1,0,38,1,27,0,2,0,0,166,19,0,0,1,1,44,23,0,0,190,0,1,0,2,0,0,14,0,0,0,0,0,52,112,37,0,1,82,0,20,66,0,0,2,1,0,0,24,53,0,0,2,0,49,3,0,3,0,32,2,0,196,13,39.4,32.9,1015.6,9.5,9.2,19.0,24.1,46.9,28.0,0.0,999.9,0
2019-01-04,2019,1,4,Friday,5,769,0,2,21,0,89,0,1,1,0,0,7,5,1,0,0,0,3,0,7,2,1,0,2,0,6,1,6,0,18,5,0,2,17,4,2,1,0,0,0,0,0,0,9,2,10,0,0,6,4,0,0,0,0,2,0,0,1,0,4,0,32,2,25,0,5,0,0,153,31,0,0,0,2,61,19,2,0,166,2,1,0,4,0,0,17,1,0,0,0,0,51,105,38,0,3,82,2,13,57,0,0,4,0,0,4,27,68,0,0,4,0,54,8,0,7,0,37,2,0,182,21,39.0,30.2,1014.4,9.8,9.9,18.1,26.0,46.9,30.9,0.01,999.9,0
2019-01-05,2019,1,5,Saturday,6,792,0,2,20,0,101,1,3,1,0,1,0,11,1,0,0,0,1,0,7,2,0,0,0,0,4,0,5,0,18,1,0,1,10,3,4,0,0,0,0,0,0,0,10,1,9,0,0,4,5,0,0,0,0,0,0,0,1,0,3,0,36,3,19,0,1,0,0,162,32,0,0,2,2,82,22,0,0,176,0,1,0,2,0,2,18,0,0,0,0,1,37,173,32,0,5,66,1,23,58,0,1,1,2,1,2,17,75,0,0,6,0,45,7,0,4,0,29,6,0,175,24,43.8,42.4,1005.8,5.0,11.8,21.0,31.1,46.9,30.9,0.25,999.9,0
2019-01-06,2019,1,6,Sunday,7,664,1,4,15,0,124,0,1,1,0,0,1,13,0,1,0,0,0,0,4,7,0,0,0,0,3,0,5,0,16,7,2,0,7,1,4,0,0,1,0,0,0,0,12,1,7,0,0,3,6,0,0,0,0,0,0,0,0,0,1,0,21,5,26,0,0,0,0,127,16,0,0,0,1,35,21,4,0,138,1,1,0,1,0,3,15,0,0,0,0,1,47,143,28,0,5,77,1,18,45,0,0,6,0,0,0,15,39,0,0,7,0,31,1,0,3,0,20,1,0,157,17,39.7,34.0,1007.1,9.6,13.1,20.0,28.9,46.9,34.0,0.86,999.9,0
2019-01-07,2019,1,7,Monday,1,676,0,5,4,0,100,1,1,1,0,1,6,7,0,0,0,0,0,0,2,1,1,0,1,0,10,1,3,0,12,5,2,1,16,2,5,1,0,0,0,0,0,0,14,2,8,0,0,1,6,0,0,0,0,1,0,1,0,0,4,0,30,2,23,1,4,0,0,155,17,0,0,5,14,36,17,1,0,127,1,1,0,1,0,0,12,0,0,0,0,1,54,108,41,0,1,71,0,31,49,1,0,2,0,0,0,19,36,0,1,7,0,56,0,0,1,0,15,2,2,167,9,27.4,11.7,1024.8,10.0,17.4,22.0,31.1,45.0,21.9,0.0,999.9,0
2019-01-08,2019,1,8,Tuesday,2,701,2,3,16,0,105,1,3,1,0,0,4,0,0,0,0,0,0,0,2,1,1,0,0,0,9,3,8,0,18,8,3,1,9,4,2,0,0,0,0,0,0,0,8,0,10,0,0,6,2,0,0,0,0,0,0,0,0,0,3,0,35,1,12,1,1,1,0,155,14,0,0,2,20,45,19,0,0,135,1,1,0,0,1,0,13,4,0,0,0,1,55,124,39,0,5,81,0,19,60,0,1,3,2,1,1,9,46,0,0,4,0,37,0,0,2,0,25,3,1,169,13,36.3,30.8,1025.7,6.7,9.3,19.0,999.9,46.9,21.9,0.0,999.9,1
2019-01-09,2019,1,9,Wednesday,3,631,2,1,12,0,86,0,0,2,0,1,3,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,0,5,2,5,1,19,3,1,1,0,0,0,0,0,0,11,10,11,0,0,5,2,0,0,0,0,0,0,0,1,0,2,0,26,4,13,0,1,0,0,132,17,0,0,2,20,51,14,1,0,126,1,0,0,2,0,0,9,1,0,0,0,2,49,100,22,0,4,48,0,18,59,0,0,1,0,0,0,21,55,0,0,4,0,39,0,0,3,0,19,0,1,168,18,44.4,39.6,997.6,5.6,13.4,22.0,34.0,46.9,28.9,0.12,999.9,1
2019-01-10,2019,1,10,Thursday,4,686,1,3,9,0,90,1,1,0,0,0,1,6,1,0,0,0,0,0,4,0,0,0,0,0,9,2,4,0,8,2,2,0,16,2,2,0,0,0,0,0,0,0,10,8,6,0,0,2,3,0,0,0,0,1,0,2,1,0,2,0,24,2,25,0,4,0,0,152,26,0,0,1,16,45,23,0,0,148,0,0,0,0,0,1,17,1,0,1,0,1,42,113,38,2,7,80,1,16,52,0,0,4,1,0,1,15,46,0,0,11,0,52,0,0,5,0,18,2,0,158,21,34.9,21.2,998.6,9.7,14.7,19.0,32.1,46.9,32.0,0.01,999.9,0
