month,day,ABANDONED_BUILDING,AIRPORT_OR_AIRCRAFT,ALLEY,ANIMAL_HOSPITAL,APARTMENT,APPLIANCE_STORE,ATHLETIC_CLUB,ATM_AUTOMATIC_TELLER_MACHINE,AUTO,AUTO_BOAT_RV_DEALERSHIP,BANK,BANQUET_HALL,BAR_OR_TAVERN,HAIRDRESSERS,BASEMENT,BOAT_WATERCRAFT,BOWLING_ALLEY,BRIDGE,CAR_WASH,CEMETARY,CHIAGO_HOUSING_AUTHORIY_PROPERTIES,PLACE_OF_WORSHIP,CLEANERS_LAUNDROMAT,CLEANING_STORE,CLUB,COACH_HOUSE,COIN_OPERATED_MACHINE,COLLEGE_UNIVERSITY,COMMERCIAL_BUSINESS_OFFICE,CONSTRUCTION_SITE,CONVENIENCE_STORE,CREDIT_UNION,CTA_TRAIN_CRIME,CTA_BUS_CRIME,CURRENCY_EXCHANGE,DAY_CARE_CENTER,DELIVERY_TRUCK,DEPARTMENT_STORE,DRIVEWAY,DRUG_STORE,DUMPSTER,ELEVATOR,EXPRESSWAY_EMBANKMENT,FACTORY_BUILDING,FARM,FEDERAL_BUILDING,FIRE_STATION,FOREST_PRESERVE,FUNERAL_PARLOR,GANGWAY,GARAGE,GAS_STATION,GOVERNMENT_BUILDING,GROCERY_FOOD_STORE,HALLWAY,HIGHWAY_EXPRESSWAY,HORSE_STABLE,HOSPITAL,HOTEL_MOTEL,HOUSE,JAIL,JUNK_YARD_GARBAGE_DUMP,KENNEL,LAGOON,LAKE,LAUNDRY_ROOM,LIBRARY,LIQUOR_STORE,LIVERY_AUTO,LIVERY_STAND_OFFICE,LOADING_DOCK,MEDICAL_DENTAL_OFFICE,CINEMA,NEWSSTAND,CARE_HOME,OFFICE,OTHER,PARK_PROPERTY,PARKING_LOT,PAWN_SHOP,POLICE_FACILITY_VEHICLE_PARKING_LOT,POOL_ROOM,PORCH,PRAIRIE,PUBLIC_GRAMMAR_SCHOOL,PUBLIC_HIGH_SCHOOL,RAILROAD_PROPERTY,RESIDENCE,RESTAURANT,RETAIL_STORE,RIVER,ROOMING_HOUSE,SAVINGS_AND_LOAN,PRIVATE_SCHOOL,PUBLIC_SCHOOL,SEWER,SIDEWALK,SMALL_RETAIL_STORE,SPORTS_ARENA_STADIUM,STAIRWELL,STREET,TAVERN_PUB,TAXI_CAB,TRAILER,TRUCK,TRUCKING_TERMINAL,VACANT_LOT,VEHICLE_DELIVERY_TRUCK,VEHICLE_RIDE_SERVICE_EG_UBER_LYFT,VEHICLE_NON_COMMERCIAL,VEHICLE_COMMERCIAL,VESTIBULE,WAREHOUSE,WOODED_AREA,YARD,YMCA,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED_CARRY_LICENSE_VIOLATION,CRIM_SEXUAL_ASSAULT,CRIMINAL_DAMAGE,CRIMINAL_SEXUAL_ASSAULT,CRIMINAL_TRESPASS,DECEPTIVE_PRACTICE,DOMESTIC_VIOLENCE,HOMICIDE,HUMAN_TRAFFICKING,INTERFERENCE_WITH_PUBLIC_OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR_LAW_VIOLATION,MOTOR_VEHICLE_THEFT,NARCOTICS,NON_CRIMINAL,OBSCENITY,OFFENSE_INVOLVING_CHILDREN,OTHER_NARCOTIC_VIOLATION,OTHER_OFFENSE,PROSTITUTION,PUBLIC_INDECENCY,PUBLIC_PEACE_VIOLATION,RITUALISM,ROBBERY,SEX_OFFENSE,STALKING,THEFT,WEAPONS_VIOLATION
1,4,0,2,13,0,107,2,3,2,0,1,1,0,9,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,4,2,9,0,7,4,0,0,0,15,1,3,0,0,0,0,0,0,0,0,0,0,0,10,1,6,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,16,0,2,0,0,0,0,0,0,137,20,0,0,0,0,0,1,0,45,22,1,0,132,1,0,0,0,0,1,0,1,16,1,0,1,0,0,0,3,41,144,29,1,2,67,2,21,32,0,0,0,7,0,0,1,22,40,0,0,5,0,34,0,0,3,0,34,2,1,132,13
1,15,0,4,8,0,93,0,1,0,0,0,4,0,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,4,1,5,0,11,6,0,0,0,23,0,2,0,0,0,0,0,1,0,0,0,0,0,17,1,8,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22,1,15,2,4,0,0,0,0,0,0,167,13,0,0,0,0,2,23,0,45,14,1,0,110,3,0,0,0,0,3,0,1,10,0,0,1,0,0,0,1,54,107,30,1,1,51,2,19,74,0,0,0,4,0,0,0,25,38,0,1,9,0,40,0,0,6,0,15,4,0,151,18
2,9,0,1,10,0,91,1,0,1,0,2,4,0,12,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,1,0,3,0,8,1,0,0,0,10,3,4,0,0,0,0,0,0,0,0,0,0,0,12,1,10,0,1,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,18,0,15,1,1,0,0,0,0,0,0,103,22,0,0,0,0,3,1,0,35,17,0,0,136,4,1,0,0,0,2,0,0,10,0,0,1,0,0,0,5,32,132,30,0,1,49,6,16,30,0,0,0,6,0,1,0,21,34,0,0,5,0,31,1,0,3,0,22,2,0,120,13
2,17,1,0,9,0,95,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,7,0,19,2,2,0,0,9,1,5,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,1,16,0,2,0,0,0,0,0,0,133,14,0,0,0,0,0,1,0,32,23,2,0,134,1,2,0,0,0,1,0,0,7,0,0,0,0,0,0,3,47,112,17,0,1,70,3,19,41,0,0,0,8,1,0,2,19,37,0,0,4,0,45,0,0,4,0,19,2,0,130,16
3,8,0,4,20,1,97,0,0,0,0,0,4,0,8,1,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,0,8,0,15,3,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,19,0,0,0,0,0,0,0,0,133,18,0,0,0,0,1,4,0,43,11,1,0,155,1,1,0,0,0,0,0,1,17,0,0,0,0,0,0,0,57,148,19,1,0,75,6,16,25,0,0,0,6,0,0,0,21,40,0,1,2,0,37,0,0,3,0,17,1,1,135,26
3,11,0,2,8,0,97,0,1,0,0,2,5,0,3,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,8,1,8,0,9,4,2,3,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,15,0,13,0,0,0,6,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,17,2,20,0,1,0,0,0,0,0,0,106,15,0,0,0,0,7,25,0,28,22,0,0,119,0,1,0,0,0,1,1,0,7,0,0,2,0,0,0,1,63,101,15,0,0,59,3,16,37,0,0,0,2,0,0,1,17,40,0,0,4,0,46,0,0,3,0,12,2,1,158,10
3,31,0,0,3,0,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,2,6,0,6,7,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,0,7,0,5,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,105,6,0,0,0,0,0,0,0,9,6,0,0,93,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,36,94,18,0,0,43,2,8,22,0,0,0,0,2,0,0,21,4,0,1,3,0,18,0,0,3,0,14,1,1,90,5
3,28,3,1,16,0,107,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,7,0,3,7,1,0,0,0,1,7,0,0,0,1,0,0,0,1,0,0,0,7,0,12,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,10,0,3,0,0,0,0,0,0,102,5,0,0,0,0,0,1,0,22,7,0,0,99,1,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,39,133,21,0,0,51,2,12,29,0,0,0,0,0,0,0,22,9,0,0,0,0,25,0,0,2,0,12,1,0,96,15
4,29,0,0,3,0,102,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,1,5,0,4,4,0,0,0,3,1,2,0,0,0,2,0,0,0,0,0,0,0,4,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,0,2,0,0,0,0,0,0,95,4,0,0,0,0,0,1,0,12,12,0,0,107,0,0,0,0,0,1,1,1,5,0,0,0,0,0,0,2,30,80,31,0,0,65,2,9,33,0,0,0,0,0,0,0,28,9,0,0,3,0,20,0,0,0,0,12,2,0,90,6
4,27,0,3,8,0,69,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,7,1,3,2,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,103,5,0,0,0,0,0,2,0,24,9,0,0,92,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,37,77,10,0,0,50,1,12,40,0,0,0,0,0,0,0,26,7,0,0,1,0,22,0,0,0,0,9,4,0,86,16
