month,day,dow,dow_num,TOTAL_CRIMES,ABANDONED_BUILDING,AIRPORT_OR_AIRCRAFT,ALLEY,ANIMAL_HOSPITAL,APARTMENT,APPLIANCE_STORE,ATHLETIC_CLUB,ATM_AUTOMATIC_TELLER_MACHINE,AUTO,AUTO_BOAT_RV_DEALERSHIP,BANK,BAR_OR_TAVERN,HAIRDRESSERS,BOAT_WATERCRAFT,BOWLING_ALLEY,BRIDGE,CAR_WASH,CEMETARY,CHIAGO_HOUSING_AUTHORIY_PROPERTIES,PLACE_OF_WORSHIP,CLEANING_STORE,CLUB,COIN_OPERATED_MACHINE,COLLEGE_UNIVERSITY,COMMERCIAL_BUSINESS_OFFICE,CONSTRUCTION_SITE,CONVENIENCE_STORE,CREDIT_UNION,CTA_TRAIN_CRIME,CTA_BUS_CRIME,CURRENCY_EXCHANGE,DAY_CARE_CENTER,DEPARTMENT_STORE,DRIVEWAY,DRUG_STORE,FACTORY_BUILDING,FARM,FEDERAL_BUILDING,FIRE_STATION,FOREST_PRESERVE,GANGWAY,GARAGE,GAS_STATION,GOVERNMENT_BUILDING,GROCERY_FOOD_STORE,HALLWAY,HIGHWAY_EXPRESSWAY,HOSPITAL,HOTEL_MOTEL,HOUSE,JAIL,KENNEL,LAKE,LIBRARY,LIQUOR_STORE,MEDICAL_DENTAL_OFFICE,CINEMA,NEWSSTAND,CARE_HOME,OFFICE,OTHER,PARK_PROPERTY,PARKING_LOT,PAWN_SHOP,POLICE_FACILITY_VEHICLE_PARKING_LOT,POOL_ROOM,PORCH,RESIDENCE,RESTAURANT,RETAIL_STORE,SAVINGS_AND_LOAN,PRIVATE_SCHOOL,PUBLIC_SCHOOL,SIDEWALK,SMALL_RETAIL_STORE,SPORTS_ARENA_STADIUM,STAIRWELL,STREET,TAVERN_PUB,TAXI_CAB,TRUCKING_TERMINAL,VACANT_LOT,VEHICLE_DELIVERY_TRUCK,VEHICLE_RIDE_SERVICE_EG_UBER_LYFT,VEHICLE_NON_COMMERCIAL,VEHICLE_COMMERCIAL,VESTIBULE,WAREHOUSE,YARD,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED_CARRY_LICENSE_VIOLATION,CRIM_SEXUAL_ASSAULT,CRIMINAL_DAMAGE,CRIMINAL_SEXUAL_ASSAULT,CRIMINAL_TRESPASS,DECEPTIVE_PRACTICE,HOMICIDE,HUMAN_TRAFFICKING,INTERFERENCE_WITH_PUBLIC_OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR_LAW_VIOLATION,MOTOR_VEHICLE_THEFT,NARCOTICS,NON_CRIMINAL,OBSCENITY,OFFENSE_INVOLVING_CHILDREN,OTHER_NARCOTIC_VIOLATION,OTHER_OFFENSE,PROSTITUTION,PUBLIC_INDECENCY,PUBLIC_PEACE_VIOLATION,RITUALISM,ROBBERY,SEX_OFFENSE,STALKING,THEFT,WEAPONS_VIOLATION,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
1,1,Wednesday,3,955,0,0,17,0,208,1,0,0,0,2,0,19,0,0,0,0,1,0,3,1,0,0,0,1,4,0,6,0,16,9,1,1,10,0,6,0,0,0,0,0,0,0,10,0,10,0,1,8,11,0,0,0,0,0,0,0,1,0,3,0,39,1,15,0,1,1,0,284,11,0,0,2,0,49,15,0,0,151,1,0,0,2,0,1,8,0,0,0,0,0,58,236,24,1,8,104,22,20,117,0,0,3,0,1,1,16,30,0,0,36,0,75,0,0,3,0,21,16,0,122,41,30.6,25.2,9999.9,999.9,17.9,25.1,999.9,41.5,25.3,0.0,999.9,0
1,2,Thursday,4,636,0,2,13,1,99,0,1,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,4,1,5,0,15,3,2,0,14,0,2,1,0,0,0,0,0,0,10,0,7,0,0,3,1,0,1,0,0,2,0,0,1,0,3,0,32,1,16,0,2,0,0,147,12,0,0,0,13,44,17,1,0,132,0,0,0,1,0,0,14,2,0,0,0,0,38,100,24,0,4,67,0,23,50,0,0,5,0,0,2,22,30,0,0,8,0,44,0,0,2,0,20,2,1,171,19,42.9,33.0,9999.9,999.9,22.9,31.1,999.9,48.0,38.7,0.0,999.9,0
1,3,Friday,5,697,3,4,10,0,97,0,0,0,0,0,4,1,0,0,1,0,0,0,3,2,0,0,0,1,4,0,7,0,13,3,2,0,11,1,2,2,0,0,2,0,0,0,5,1,11,0,1,4,4,0,0,0,0,1,0,1,0,0,3,0,25,1,12,0,2,0,0,155,25,1,0,2,8,68,17,0,0,159,1,0,0,2,0,0,9,0,0,2,0,1,57,128,26,1,2,54,2,26,55,0,0,4,1,1,0,23,52,0,0,3,0,57,0,0,1,0,20,4,1,152,24,40.1,36.3,9999.9,999.9,10.4,17.1,999.9,47.5,34.3,0.0,999.9,0
1,4,Saturday,6,638,0,2,13,0,107,2,3,2,0,1,1,9,1,0,0,0,0,0,7,1,0,0,0,0,4,2,9,0,7,4,0,0,15,1,3,0,0,0,0,0,0,0,10,1,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,17,2,16,0,2,0,0,137,20,0,0,0,1,45,22,1,0,132,1,0,0,1,0,1,16,1,0,1,0,3,41,144,29,1,2,67,2,21,32,0,0,7,0,0,1,22,40,0,0,5,0,34,0,0,3,0,34,2,1,132,13,33.0,28.1,9999.9,999.9,13.1,19,999.9,34.7,31.3,0.0,999.9,0
1,5,Sunday,7,623,0,3,17,0,102,1,4,0,0,3,0,10,0,0,0,0,0,0,1,2,0,0,0,0,3,0,9,1,4,2,0,1,10,4,5,0,0,0,0,0,0,0,14,2,2,0,0,3,4,0,0,0,0,0,0,0,1,0,3,0,17,2,25,0,2,0,0,127,13,0,0,1,1,57,12,0,0,141,0,1,0,1,0,0,6,0,0,0,0,4,46,126,28,0,2,62,0,14,33,0,0,3,0,0,0,25,44,0,0,7,1,48,0,0,2,0,37,0,2,118,19,32.2,26.3,9999.9,999.9,18.9,28,999.9,43.0,26.1,0.0,999.9,0
1,6,Monday,1,691,0,3,18,0,108,0,1,0,0,1,5,1,0,0,0,0,0,0,2,0,0,0,0,1,6,1,5,0,22,6,0,1,13,2,2,1,0,0,0,0,0,0,9,1,12,0,0,6,5,0,0,0,0,0,0,0,0,0,2,0,29,1,20,0,3,0,0,162,11,0,1,0,12,45,23,0,0,133,1,0,0,1,0,2,10,0,0,0,0,2,55,118,31,1,1,66,6,17,63,0,0,4,0,0,0,16,47,0,0,7,0,34,0,0,3,0,27,2,0,169,22,35.8,24.5,9999.9,999.9,16.8,27,999.9,42.4,30.7,0.0,999.9,0
1,7,Tuesday,2,628,0,5,11,0,94,0,1,2,0,0,4,0,1,0,0,0,0,0,2,2,1,0,0,0,3,2,7,0,14,8,1,1,7,0,3,1,0,1,2,0,0,0,9,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,7,0,30,0,21,0,0,0,0,128,19,0,0,4,25,28,11,0,0,131,1,0,0,1,0,0,15,0,0,2,0,0,51,106,25,0,0,57,1,19,72,0,0,2,1,0,1,14,42,0,0,2,0,38,0,0,4,0,15,2,1,158,17,37.1,18.5,9999.9,999.9,14.8,21,999.9,39.0,35.8,0.0,999.9,0
1,8,Wednesday,3,647,0,4,4,0,118,1,0,0,0,0,2,1,0,0,0,0,0,0,8,2,0,0,0,0,3,3,9,0,8,3,1,1,13,0,0,2,0,0,0,0,0,0,11,2,8,0,0,2,4,0,1,0,0,1,0,0,0,0,1,0,29,1,12,1,4,0,0,136,17,0,0,2,23,35,15,2,0,141,0,0,0,1,0,0,11,1,0,1,0,1,53,109,29,0,2,72,1,14,40,1,0,4,1,0,0,17,38,0,0,7,0,57,0,0,9,0,24,1,2,152,13,23.5,10.5,9999.9,999.9,15.9,27,999.9,34.9,16.3,0.0,999.9,0
1,9,Thursday,4,632,0,2,15,0,100,0,1,0,0,2,3,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,0,13,6,1,1,14,6,2,0,0,0,0,0,0,0,5,1,5,0,0,4,2,0,0,0,0,0,0,4,1,0,4,0,32,3,12,0,1,0,0,138,12,0,0,2,18,38,17,0,0,145,2,0,0,0,0,0,8,0,0,0,0,2,46,89,25,1,2,54,2,21,56,1,0,4,2,1,2,24,41,0,0,7,0,46,0,0,4,0,23,3,0,157,19,33.6,24.6,9999.9,999.9,24,33,999.9,49.1,21.6,0.0,999.9,0
1,10,Friday,5,624,1,4,11,0,94,0,1,1,0,2,4,2,0,0,0,0,2,0,5,0,0,0,0,0,0,0,4,0,14,3,2,0,15,3,2,0,0,1,0,0,0,0,8,1,7,0,0,4,4,0,0,0,0,1,0,0,0,0,3,0,33,3,17,0,3,1,0,122,17,0,0,3,15,54,31,0,0,110,3,0,0,0,0,0,10,2,0,0,0,1,43,112,28,0,2,42,2,23,54,0,0,3,0,0,3,29,37,0,0,11,0,33,1,0,2,0,20,2,0,163,10,45.1,43.5,9999.9,999.9,18,35.9,999.9,50.2,37.0,0.0,999.9,0
1,11,Saturday,6,560,1,0,8,0,90,0,1,4,0,0,2,7,1,0,0,0,0,0,2,0,0,0,0,0,5,1,5,0,12,4,0,0,9,3,2,0,0,0,0,0,0,0,5,0,9,0,0,6,4,0,0,0,0,1,0,0,2,0,2,0,22,0,11,0,1,0,0,125,22,0,0,1,0,41,19,0,0,108,1,0,0,1,0,0,19,1,0,0,0,2,51,98,24,0,1,45,3,19,38,0,0,2,0,0,0,28,45,0,0,3,0,37,0,0,3,0,22,0,0,125,14,35.8,35.7,9999.9,999.9,23.1,32.1,999.9,37.6,32.0,0.0,999.9,0
1,12,Sunday,7,575,1,2,10,0,90,0,2,0,0,0,1,11,1,0,0,0,0,0,2,1,0,0,1,0,4,0,9,0,9,8,0,0,10,3,1,0,0,0,0,0,0,0,9,1,15,0,0,2,5,0,0,0,0,1,0,0,1,0,3,0,24,2,9,0,2,1,0,125,16,0,0,0,1,40,14,0,0,117,1,1,0,1,0,2,12,0,0,1,0,1,37,115,20,1,0,71,1,15,40,0,0,3,0,0,2,21,30,0,0,6,0,31,0,0,0,0,24,1,0,144,11,28.1,26.5,9999.9,999.9,12.6,32.1,999.9,31.5,25.7,0.0,999.9,0
1,13,Monday,1,650,1,3,14,0,102,0,2,0,0,0,3,1,0,0,0,0,0,0,5,0,0,0,1,1,3,1,8,0,12,8,2,1,7,1,3,0,0,0,0,0,0,0,7,3,10,0,0,3,4,0,0,0,0,1,0,0,0,0,4,0,28,1,17,0,1,0,0,160,12,0,0,1,15,32,14,1,0,138,1,0,0,1,0,1,10,2,0,1,0,1,62,101,22,0,3,68,2,9,65,0,0,1,0,0,0,22,36,0,0,4,0,53,0,0,3,0,25,4,0,154,15,32.5,30.2,9999.9,999.9,12.4,21,999.9,33.6,31.1,0.0,999.9,0
1,14,Tuesday,2,662,0,2,14,0,102,0,1,1,0,1,3,2,0,0,0,0,1,0,3,0,0,0,0,1,2,0,5,0,9,13,0,0,15,2,2,0,0,0,0,0,0,0,7,1,7,0,0,4,2,0,0,0,0,0,0,1,1,0,4,0,31,0,23,0,2,0,0,121,12,0,0,3,22,51,18,0,0,150,0,1,0,3,0,0,11,1,0,1,0,1,55,105,22,0,2,49,1,26,56,0,0,3,1,0,1,22,46,0,0,6,0,55,0,0,5,0,16,6,0,170,12,36.6,34.2,9999.9,999.9,13.5,20,999.9,41.0,32.9,0.0,999.9,0
1,15,Wednesday,3,653,0,4,8,0,93,0,1,0,0,0,4,4,0,0,0,0,1,0,1,2,0,0,0,1,4,1,5,0,11,6,0,0,23,0,2,0,0,1,0,0,0,0,17,1,8,0,0,5,1,0,0,0,0,1,0,1,0,0,0,0,22,1,15,2,4,0,0,167,13,0,0,2,23,45,14,1,0,110,3,0,0,3,0,1,10,0,0,1,0,1,54,107,30,1,1,51,2,19,74,0,0,4,0,0,0,25,38,0,1,9,0,40,0,0,6,0,15,4,0,151,18,34.4,33.4,9999.9,999.9,8.2,13,999.9,37.6,32.4,0.0,999.9,0
1,16,Thursday,4,675,0,3,9,0,84,0,1,1,0,0,2,5,1,0,0,0,0,0,3,2,1,0,0,0,6,0,6,0,15,6,0,1,15,3,4,0,0,0,0,0,0,0,9,0,13,0,0,9,1,0,0,0,0,2,0,4,0,0,5,0,36,2,12,0,2,0,0,133,13,0,0,3,23,36,17,1,0,165,1,0,0,3,0,0,9,1,0,0,0,2,53,118,23,0,0,75,4,18,43,0,0,3,1,1,0,24,37,0,0,6,0,61,7,0,0,0,21,3,0,166,7,26.7,19.5,9999.9,999.9,16.7,22,999.9,37.0,18.5,0.0,999.9,0
1,17,Friday,5,581,1,4,4,0,75,1,0,1,0,0,5,13,2,0,0,0,0,0,3,0,0,0,0,0,3,3,9,0,8,7,1,3,8,1,2,0,0,0,0,0,0,0,6,2,15,0,0,1,1,0,0,0,0,2,0,0,0,0,3,0,20,0,11,0,1,1,0,111,20,0,0,3,26,47,11,1,0,124,1,0,0,3,0,0,13,1,0,0,0,0,44,102,17,0,3,56,2,16,39,0,0,3,0,0,0,28,41,0,1,6,0,29,1,0,3,0,20,3,1,153,12,23.6,16.7,9999.9,999.9,13.1,19,999.9,28.2,19.2,0.0,999.9,0
1,18,Saturday,6,562,0,1,11,0,98,0,0,0,0,0,4,8,0,0,0,0,0,0,5,2,1,0,0,0,2,2,3,0,9,4,1,0,12,3,5,0,0,0,0,0,0,0,14,1,12,0,1,1,3,0,0,0,0,0,0,0,1,0,3,0,24,0,15,0,1,1,0,120,9,1,0,1,4,35,16,3,0,105,3,1,0,0,0,2,10,1,0,0,0,0,50,116,15,2,3,46,4,13,32,0,0,2,0,0,0,16,38,0,0,1,0,41,4,0,1,0,28,4,0,135,8,31.3,30.3,9999.9,999.9,22.6,34,999.9,36.9,19.6,0.0,999.9,0
1,19,Sunday,7,503,1,3,8,0,83,0,1,2,0,0,1,11,0,0,1,0,0,0,2,1,0,0,0,0,1,1,7,0,9,4,0,0,9,2,8,0,0,0,0,0,0,0,9,0,10,0,0,1,6,0,0,0,0,1,0,0,0,0,4,0,14,0,13,0,0,0,0,105,10,0,0,0,1,28,18,0,0,111,2,1,0,3,0,0,10,0,0,0,0,0,40,114,11,0,1,44,0,13,22,0,0,5,0,0,0,32,30,0,0,2,0,37,0,0,2,0,11,1,0,120,17,10.8,5.6,9999.9,999.9,24.6,36.9,999.9,21.4,4.5,0.0,999.9,0
1,20,Monday,1,619,0,4,9,0,93,2,2,2,0,0,5,2,1,0,0,0,0,0,6,1,1,0,0,0,2,2,3,0,7,2,1,0,12,3,8,0,0,0,0,0,0,0,7,4,11,0,0,8,1,0,0,0,0,0,0,0,0,0,3,0,28,1,18,0,3,0,0,118,17,0,0,0,1,40,20,0,0,148,1,0,0,4,0,1,13,0,0,1,0,0,48,107,20,0,1,49,4,11,40,0,0,5,0,0,0,26,56,0,1,3,0,49,1,0,5,0,22,2,1,152,16,24.8,20.5,9999.9,999.9,13.4,18.1,999.9,29.1,20.8,0.0,999.9,0
1,21,Tuesday,2,584,0,1,11,0,76,1,1,0,0,0,3,0,1,0,0,0,1,0,4,4,0,0,0,2,2,0,3,0,10,5,1,0,18,1,4,1,0,0,0,0,0,0,9,2,10,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,24,0,18,1,1,0,1,135,16,0,0,5,24,32,18,0,0,112,0,0,0,0,0,0,10,1,0,2,0,0,44,95,23,1,2,47,2,20,43,0,0,3,0,0,0,23,39,0,1,3,0,52,2,0,1,0,22,4,0,147,9,25.5,18.4,9999.9,999.9,10.1,14,999.9,30.4,21.9,0.0,999.9,0
1,22,Wednesday,3,633,0,4,9,0,98,0,1,1,1,1,3,2,1,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,12,3,2,2,13,0,3,1,0,0,0,0,0,0,5,1,8,0,0,2,3,0,0,0,0,2,0,1,0,0,6,0,31,1,22,0,1,0,0,134,18,0,0,4,25,49,20,1,0,118,0,0,0,1,0,0,11,1,0,1,0,0,61,128,26,1,2,51,4,18,50,0,0,4,1,1,0,22,41,0,0,15,0,43,0,0,1,0,27,6,0,119,11,28.7,22.7,9999.9,999.9,19.7,24.1,999.9,34.7,25.9,0.0,999.9,0
1,23,Thursday,4,592,1,8,13,0,81,0,0,2,1,2,5,3,1,0,0,0,0,0,4,3,0,0,0,0,7,0,6,0,18,9,0,2,18,1,5,0,0,0,0,0,0,0,4,5,11,0,0,3,6,0,1,0,0,0,0,1,0,0,2,0,21,1,11,0,0,0,0,122,16,0,0,4,15,31,17,1,0,111,1,1,0,4,0,0,10,0,0,1,0,0,48,105,25,0,1,37,2,25,43,0,0,4,0,0,0,12,57,0,0,6,1,38,1,0,5,0,31,4,0,137,9,32.2,28.9,9999.9,999.9,14.9,20,999.9,34.0,30.0,0.0,999.9,0
1,24,Friday,5,657,1,2,6,0,95,0,2,2,0,0,5,4,0,0,0,0,0,0,4,0,0,0,0,0,3,0,2,0,13,5,2,0,17,3,3,0,0,0,0,0,0,0,13,3,12,0,0,4,2,0,1,0,0,0,0,0,0,0,5,0,33,0,12,0,2,0,0,143,24,0,0,3,21,42,11,2,0,140,2,1,0,1,0,1,9,1,0,0,0,0,49,100,22,0,0,62,4,22,49,0,0,4,0,2,0,19,34,0,0,13,0,49,2,0,8,0,23,1,1,172,20,35.2,35.0,9999.9,999.9,7.9,15,999.9,35.8,32.7,0.0,999.9,0
