"","dow","temp","TOTAL_CRIMES","BAR_OR_TAVERN","BATTERY"
"2","Wednesday",35,0.620553359683794,0.171428571428571,0.186206896551724
"3","Thursday",39.4,0.812252964426877,0.0285714285714286,0.23448275862069
"4","Friday",39,0.845849802371542,0.142857142857143,0.186206896551724
"5","Saturday",43.8,0.891304347826087,0.314285714285714,0.655172413793103
"6","Sunday",39.7,0.638339920948617,0.371428571428571,0.448275862068966
"7","Monday",27.4,0.662055335968379,0.2,0.206896551724138
"8","Tuesday",36.3,0.711462450592885,0,0.317241379310345
"9","Wednesday",44.4,0.573122529644269,0.114285714285714,0.151724137931034
"10","Thursday",34.9,0.681818181818182,0.171428571428571,0.241379310344828
"11","Friday",28.6,0.875494071146245,0.257142857142857,0.268965517241379
"12","Saturday",23.1,0.656126482213439,0.628571428571429,0.317241379310345
"13","Sunday",26,0.458498023715415,0.342857142857143,0.358620689655172
"14","Monday",32.8,0.58102766798419,0.0857142857142857,0.227586206896552
"15","Tuesday",29.4,0.705533596837945,0.0285714285714286,0.317241379310345
"16","Wednesday",31.3,0.709486166007905,0.0571428571428571,0.206896551724138
"17","Thursday",29.4,0.616600790513834,0.0285714285714286,0.2
"18","Friday",33.2,0.646245059288538,0.314285714285714,0.248275862068966
"19","Saturday",34.5,0.357707509881423,0.514285714285714,0.2
"20","Sunday",43.2,0.300395256916996,0.4,0.213793103448276
"21","Monday",13.7,0.424901185770751,0.0571428571428571,0
"22","Tuesday",15.8,0.563241106719368,0.0571428571428571,0.227586206896552
"23","Wednesday",31.6,0.634387351778656,0,0.131034482758621
"24","Thursday",46.5,0.525691699604743,0.142857142857143,0.220689655172414
"25","Friday",37,0.484189723320158,0.171428571428571,0.213793103448276
"26","Saturday",30.5,0.377470355731225,0.342857142857143,0.193103448275862
"27","Sunday",35.1,0.361660079051383,0.371428571428571,0.172413793103448
"28","Monday",35.7,0.355731225296443,0.0857142857142857,0.213793103448276
"29","Tuesday",33.8,0.302371541501976,0.0857142857142857,0.0413793103448276
"30","Wednesday",36.8,0,0.0285714285714286,0.0344827586206897
"31","Thursday",15.7,0.233201581027668,0,0.0275862068965517
"32","Friday",17.6,0.859683794466403,0.171428571428571,0.0827586206896552
"33","Saturday",23.5,0.75296442687747,0.314285714285714,0.331034482758621
"34","Sunday",35.4,0.50395256916996,0.457142857142857,0.413793103448276
"35","Monday",39.7,0.780632411067194,0.142857142857143,0.351724137931034
"36","Tuesday",43,0.616600790513834,0.0571428571428571,0.179310344827586
"37","Wednesday",39.1,0.58300395256917,0,0.296551724137931
"38","Thursday",39.1,0.650197628458498,0.0571428571428571,0.303448275862069
"39","Friday",40.6,0.594861660079051,0.171428571428571,0.144827586206897
"40","Saturday",31.5,0.820158102766798,0.628571428571429,0.413793103448276
"41","Sunday",28.7,0.58695652173913,0.742857142857143,0.441379310344828
"42","Monday",30.7,0.563241106719368,0.0857142857142857,0.158620689655172
"43","Tuesday",29.4,0.640316205533597,0.114285714285714,0.262068965517241
"44","Wednesday",41.1,0.596837944664032,0.0285714285714286,0.262068965517241
"45","Thursday",35.5,0.792490118577075,0.0857142857142857,0.524137931034483
"46","Friday",39.8,0.790513833992095,0.171428571428571,0.289655172413793
"47","Saturday",41.1,0.66403162055336,0.257142857142857,0.455172413793103
"48","Sunday",30.9,0.547430830039526,0.4,0.482758620689655
"49","Monday",32.8,0.492094861660079,0.0857142857142857,0.220689655172414
"50","Tuesday",25.9,0.537549407114625,0.0571428571428571,0.137931034482759
"51","Wednesday",26.7,0.58102766798419,0.0285714285714286,0.255172413793103
"52","Thursday",36.8,0.701581027667984,0.114285714285714,0.303448275862069
"53","Friday",38.3,0.733201581027668,0.142857142857143,0.296551724137931
"54","Saturday",34.8,0.604743083003953,0.571428571428571,0.303448275862069
"55","Sunday",40.5,0.407114624505929,0.342857142857143,0.275862068965517
"56","Monday",38.7,0.505928853754941,0.114285714285714,0.213793103448276
"57","Tuesday",29.2,0.529644268774704,0,0.227586206896552
"58","Wednesday",21.6,0.608695652173913,0.0285714285714286,0.23448275862069
"59","Thursday",26,0.50197628458498,0.0857142857142857,0.137931034482759
"60","Friday",26.7,0.820158102766798,0.171428571428571,0.131034482758621
"61","Saturday",35.1,0.640316205533597,0.228571428571429,0.406896551724138
"62","Sunday",34.5,0.41501976284585,0.314285714285714,0.351724137931034
"63","Monday",37.9,0.401185770750988,0.0285714285714286,0.2
"64","Tuesday",28.2,0.397233201581028,0.0285714285714286,0.0827586206896552
"65","Wednesday",25.4,0.569169960474308,0.0571428571428571,0.206896551724138
"66","Thursday",22.1,0.531620553359684,0.2,0.227586206896552
"67","Friday",27.2,0.745059288537549,0.171428571428571,0.372413793103448
"68","Saturday",35.1,0.545454545454545,0.142857142857143,0.468965517241379
"69","Sunday",36.8,0.535573122529644,0.428571428571429,0.427586206896552
"70","Monday",41.7,0.709486166007905,0.0857142857142857,0.337931034482759
"71","Tuesday",38.6,0.565217391304348,0.0571428571428571,0.172413793103448
"72","Wednesday",34.5,0.685770750988142,0.0285714285714286,0.372413793103448
"73","Thursday",39,0.662055335968379,0.0285714285714286,0.317241379310345
"74","Friday",45.3,0.778656126482213,0.142857142857143,0.4
"75","Saturday",46.9,0.839920948616601,1,0.827586206896552
"76","Sunday",36.3,0.535573122529644,0.628571428571429,0.43448275862069
"77","Monday",34.5,0.612648221343874,0.171428571428571,0.420689655172414
"78","Tuesday",35.2,0.598814229249012,0,0.351724137931034
"79","Wednesday",36.9,0.695652173913043,0.0571428571428571,0.16551724137931
"80","Thursday",40.7,0.687747035573123,0.0857142857142857,0.427586206896552
"81","Friday",42.3,0.727272727272727,0.171428571428571,0.406896551724138
"82","Saturday",39.3,0.689723320158103,0.571428571428571,0.572413793103448
"83","Sunday",39.1,0.606719367588933,0.485714285714286,0.455172413793103
"84","Monday",42.5,0.588932806324111,0.0571428571428571,0.248275862068966
"85","Tuesday",36.9,0.654150197628458,0,0.248275862068966
"86","Wednesday",34.4,0.705533596837945,0.0285714285714286,0.379310344827586
"87","Thursday",36.3,0.675889328063241,0.0857142857142857,0.475862068965517
"88","Friday",44.4,0.660079051383399,0.142857142857143,0.420689655172414
"89","Saturday",46.1,0.636363636363636,0.257142857142857,0.386206896551724
"90","Sunday",49.2,0.58498023715415,0.685714285714286,0.627586206896552
"91","Monday",41.8,0.895256916996047,0.0857142857142857,0.420689655172414
"92","Tuesday",37.1,0.624505928853755,0.0857142857142857,0.255172413793103
"93","Wednesday",43.7,0.6699604743083,0,0.268965517241379
"94","Thursday",44.5,0.636363636363636,0.0285714285714286,0.379310344827586
"95","Friday",39.4,0.719367588932806,0.114285714285714,0.303448275862069
"96","Saturday",46.3,0.794466403162055,0.428571428571429,0.606896551724138
"97","Sunday",45.3,0.715415019762846,0.314285714285714,0.620689655172414
"98","Monday",46.2,0.796442687747036,0.114285714285714,0.517241379310345
"99","Tuesday",41.4,0.695652173913043,0.0571428571428571,0.427586206896552
"100","Wednesday",41.8,0.628458498023715,0.0285714285714286,0.096551724137931
"101","Thursday",40.3,0.800395256916996,0.0285714285714286,0.310344827586207
"102","Friday",43.8,0.867588932806324,0.142857142857143,0.186206896551724
"103","Saturday",49.7,0.816205533596838,0.371428571428571,0.468965517241379
"104","Sunday",50.8,0.385375494071146,0.371428571428571,0.317241379310345
"105","Monday",52,0.756916996047431,0.0571428571428571,0.220689655172414
"106","Tuesday",47.1,0.725296442687747,0.0857142857142857,0.441379310344828
"107","Wednesday",47.5,0.693675889328063,0.0571428571428571,0.289655172413793
"108","Thursday",43.7,0.567193675889328,0,0.303448275862069
"109","Friday",53.7,0.610671936758893,0.142857142857143,0.213793103448276
"110","Saturday",54.5,0.768774703557312,0.485714285714286,0.544827586206897
"111","Sunday",52.2,0.600790513833992,0.228571428571429,0.710344827586207
"112","Monday",52.1,0.782608695652174,0.142857142857143,0.427586206896552
"113","Tuesday",48.8,0.794466403162055,0.0285714285714286,0.351724137931034
"114","Wednesday",51.5,0.713438735177866,0.0857142857142857,0.275862068965517
"115","Thursday",47.7,0.841897233201581,0,0.462068965517241
"116","Friday",46.8,0.83201581027668,0.257142857142857,0.358620689655172
"117","Saturday",52.9,0.569169960474308,0.114285714285714,0.4
"118","Sunday",46.9,0.523715415019763,0.314285714285714,0.441379310344828
"119","Monday",47.8,0.743083003952569,0.0857142857142857,0.275862068965517
"120","Tuesday",45.6,0.766798418972332,0.0857142857142857,0.393103448275862
