"","dow","BAR_OR_TAVERN"
"2","Wednesday",0.171428571428571
"3","Thursday",0.0285714285714286
"4","Friday",0.142857142857143
"5","Saturday",0.314285714285714
"6","Sunday",0.371428571428571
"7","Monday",0.2
"8","Tuesday",0
"9","Wednesday",0.114285714285714
"10","Thursday",0.171428571428571
"11","Friday",0.257142857142857
"12","Saturday",0.628571428571429
"13","Sunday",0.342857142857143
"14","Monday",0.0857142857142857
"15","Tuesday",0.0285714285714286
"16","Wednesday",0.0571428571428571
"17","Thursday",0.0285714285714286
"18","Friday",0.314285714285714
"19","Saturday",0.514285714285714
"20","Sunday",0.4
"21","Monday",0.0571428571428571
"22","Tuesday",0.0571428571428571
"23","Wednesday",0
"24","Thursday",0.142857142857143
"25","Friday",0.171428571428571
"26","Saturday",0.342857142857143
"27","Sunday",0.371428571428571
"28","Monday",0.0857142857142857
"29","Tuesday",0.0857142857142857
"30","Wednesday",0.0285714285714286
"31","Thursday",0
"32","Friday",0.171428571428571
"33","Saturday",0.314285714285714
"34","Sunday",0.457142857142857
"35","Monday",0.142857142857143
"36","Tuesday",0.0571428571428571
"37","Wednesday",0
"38","Thursday",0.0571428571428571
"39","Friday",0.171428571428571
"40","Saturday",0.628571428571429
"41","Sunday",0.742857142857143
"42","Monday",0.0857142857142857
"43","Tuesday",0.114285714285714
"44","Wednesday",0.0285714285714286
"45","Thursday",0.0857142857142857
"46","Friday",0.171428571428571
"47","Saturday",0.257142857142857
"48","Sunday",0.4
"49","Monday",0.0857142857142857
"50","Tuesday",0.0571428571428571
"51","Wednesday",0.0285714285714286
"52","Thursday",0.114285714285714
"53","Friday",0.142857142857143
"54","Saturday",0.571428571428571
"55","Sunday",0.342857142857143
"56","Monday",0.114285714285714
"57","Tuesday",0
"58","Wednesday",0.0285714285714286
"59","Thursday",0.0857142857142857
"60","Friday",0.171428571428571
"61","Saturday",0.228571428571429
"62","Sunday",0.314285714285714
"63","Monday",0.0285714285714286
"64","Tuesday",0.0285714285714286
"65","Wednesday",0.0571428571428571
"66","Thursday",0.2
"67","Friday",0.171428571428571
"68","Saturday",0.142857142857143
"69","Sunday",0.428571428571429
"70","Monday",0.0857142857142857
"71","Tuesday",0.0571428571428571
"72","Wednesday",0.0285714285714286
"73","Thursday",0.0285714285714286
"74","Friday",0.142857142857143
"75","Saturday",1
"76","Sunday",0.628571428571429
"77","Monday",0.171428571428571
"78","Tuesday",0
"79","Wednesday",0.0571428571428571
"80","Thursday",0.0857142857142857
"81","Friday",0.171428571428571
"82","Saturday",0.571428571428571
"83","Sunday",0.485714285714286
"84","Monday",0.0571428571428571
"85","Tuesday",0
"86","Wednesday",0.0285714285714286
"87","Thursday",0.0857142857142857
"88","Friday",0.142857142857143
"89","Saturday",0.257142857142857
"90","Sunday",0.685714285714286
"91","Monday",0.0857142857142857
"92","Tuesday",0.0857142857142857
"93","Wednesday",0
"94","Thursday",0.0285714285714286
"95","Friday",0.114285714285714
"96","Saturday",0.428571428571429
"97","Sunday",0.314285714285714
