"","dow_num","temp","BAR_OR_TAVERN"
"2",3,35,0.171428571428571
"3",4,39.4,0.0285714285714286
"4",5,39,0.142857142857143
"5",6,43.8,0.314285714285714
"6",7,39.7,0.371428571428571
"7",1,27.4,0.2
"8",2,36.3,0
"9",3,44.4,0.114285714285714
"10",4,34.9,0.171428571428571
"11",5,28.6,0.257142857142857
"12",6,23.1,0.628571428571429
"13",7,26,0.342857142857143
"14",1,32.8,0.0857142857142857
"15",2,29.4,0.0285714285714286
"16",3,31.3,0.0571428571428571
"17",4,29.4,0.0285714285714286
"18",5,33.2,0.314285714285714
"19",6,34.5,0.514285714285714
"20",7,43.2,0.4
"21",1,13.7,0.0571428571428571
"22",2,15.8,0.0571428571428571
"23",3,31.6,0
"24",4,46.5,0.142857142857143
"25",5,37,0.171428571428571
"26",6,30.5,0.342857142857143
"27",7,35.1,0.371428571428571
"28",1,35.7,0.0857142857142857
"29",2,33.8,0.0857142857142857
"30",3,36.8,0.0285714285714286
"31",4,15.7,0
"32",5,17.6,0.171428571428571
"33",6,23.5,0.314285714285714
"34",7,35.4,0.457142857142857
"35",1,39.7,0.142857142857143
"36",2,43,0.0571428571428571
"37",3,39.1,0
"38",4,39.1,0.0571428571428571
"39",5,40.6,0.171428571428571
"40",6,31.5,0.628571428571429
"41",7,28.7,0.742857142857143
"42",1,30.7,0.0857142857142857
"43",2,29.4,0.114285714285714
"44",3,41.1,0.0285714285714286
"45",4,35.5,0.0857142857142857
"46",5,39.8,0.171428571428571
"47",6,41.1,0.257142857142857
"48",7,30.9,0.4
"49",1,32.8,0.0857142857142857
"50",2,25.9,0.0571428571428571
"51",3,26.7,0.0285714285714286
"52",4,36.8,0.114285714285714
"53",5,38.3,0.142857142857143
"54",6,34.8,0.571428571428571
"55",7,40.5,0.342857142857143
"56",1,38.7,0.114285714285714
"57",2,29.2,0
"58",3,21.6,0.0285714285714286
"59",4,26,0.0857142857142857
"60",5,26.7,0.171428571428571
"61",6,35.1,0.228571428571429
"62",7,34.5,0.314285714285714
"63",1,37.9,0.0285714285714286
"64",2,28.2,0.0285714285714286
"65",3,25.4,0.0571428571428571
"66",4,22.1,0.2
"67",5,27.2,0.171428571428571
"68",6,35.1,0.142857142857143
"69",7,36.8,0.428571428571429
"70",1,41.7,0.0857142857142857
"71",2,38.6,0.0571428571428571
"72",3,34.5,0.0285714285714286
"73",4,39,0.0285714285714286
"74",5,45.3,0.142857142857143
"75",6,46.9,1
"76",7,36.3,0.628571428571429
"77",1,34.5,0.171428571428571
"78",2,35.2,0
"79",3,36.9,0.0571428571428571
"80",4,40.7,0.0857142857142857
"81",5,42.3,0.171428571428571
"82",6,39.3,0.571428571428571
"83",7,39.1,0.485714285714286
"84",1,42.5,0.0571428571428571
"85",2,36.9,0
"86",3,34.4,0.0285714285714286
"87",4,36.3,0.0857142857142857
"88",5,44.4,0.142857142857143
"89",6,46.1,0.257142857142857
"90",7,49.2,0.685714285714286
"91",1,41.8,0.0857142857142857
"92",2,37.1,0.0857142857142857
"93",3,43.7,0
"94",4,44.5,0.0285714285714286
"95",5,39.4,0.114285714285714
"96",6,46.3,0.428571428571429
"97",7,45.3,0.314285714285714
"98",1,46.2,0.114285714285714
"99",2,41.4,0.0571428571428571
"100",3,41.8,0.0285714285714286
"101",4,40.3,0.0285714285714286
"102",5,43.8,0.142857142857143
"103",6,49.7,0.371428571428571
"104",7,50.8,0.371428571428571
"105",1,52,0.0571428571428571
"106",2,47.1,0.0857142857142857
"107",3,47.5,0.0571428571428571
"108",4,43.7,0
"109",5,53.7,0.142857142857143
"110",6,54.5,0.485714285714286
"111",7,52.2,0.228571428571429
"112",1,52.1,0.142857142857143
"113",2,48.8,0.0285714285714286
"114",3,51.5,0.0857142857142857
"115",4,47.7,0
"116",5,46.8,0.257142857142857
"117",6,52.9,0.114285714285714
"118",7,46.9,0.314285714285714
"119",1,47.8,0.0857142857142857
"120",2,45.6,0.0857142857142857
"121",3,46.9,0.0285714285714286
"122",4,49.4,0.0571428571428571
"123",5,47.3,0.2
"124",6,51.3,0.371428571428571
"125",7,46.9,0.428571428571429
"126",1,48.1,0.0571428571428571
"127",2,48.3,0.114285714285714
"128",3,53,0.142857142857143
"129",4,47.7,0.0571428571428571
"130",5,48.4,0.142857142857143
"131",6,56.8,0.257142857142857
"132",7,45.7,0.4
"133",1,46.1,0.142857142857143
"134",2,44.9,0
"135",3,48.5,0.0285714285714286
"136",4,53.3,0.0857142857142857
"137",5,52.3,0.0571428571428571
"138",6,56.7,0.4
"139",7,52,0.371428571428571
"140",1,57.2,0.0571428571428571
"141",2,58.9,0
"142",3,56.7,0.0285714285714286
"143",4,52.5,0.142857142857143
"144",5,59.3,0.314285714285714
"146",7,57.6,0.4
"147",1,62.1,0.142857142857143
"148",2,51.6,0.0857142857142857
"149",3,54.6,0.0285714285714286
"150",4,51.3,0.0571428571428571
"151",5,58.2,0.0571428571428571
"153",7,56.9,0.257142857142857
"154",1,60.4,0.0285714285714286
"155",2,58.5,0
"156",3,59.8,0.0571428571428571
"157",4,62,0.0571428571428571
"158",5,59.8,0.228571428571429
"160",7,57.7,0.428571428571429
"161",1,59.4,0.114285714285714
"162",2,63.7,0.0285714285714286
"163",3,62.9,0.114285714285714
"164",4,56.7,0.0857142857142857
"165",5,61.7,0.0571428571428571
"166",6,62.7,0.485714285714286
"167",7,62.8,0.571428571428571
"168",1,66,0.142857142857143
"169",2,60.4,0.0285714285714286
"170",3,62.3,0.171428571428571
"171",4,61,0.0285714285714286
"172",5,63.2,0.371428571428571
