"","dow","temp","BATTERY"
"2","Wednesday",35,0.186206896551724
"3","Thursday",39.4,0.23448275862069
"4","Friday",39,0.186206896551724
"5","Saturday",43.8,0.655172413793103
"6","Sunday",39.7,0.448275862068966
"7","Monday",27.4,0.206896551724138
"8","Tuesday",36.3,0.317241379310345
"9","Wednesday",44.4,0.151724137931034
"10","Thursday",34.9,0.241379310344828
"11","Friday",28.6,0.268965517241379
"12","Saturday",23.1,0.317241379310345
"13","Sunday",26,0.358620689655172
"14","Monday",32.8,0.227586206896552
"15","Tuesday",29.4,0.317241379310345
"16","Wednesday",31.3,0.206896551724138
"17","Thursday",29.4,0.2
"18","Friday",33.2,0.248275862068966
"19","Saturday",34.5,0.2
"20","Sunday",43.2,0.213793103448276
"21","Monday",13.7,0
"22","Tuesday",15.8,0.227586206896552
"23","Wednesday",31.6,0.131034482758621
"24","Thursday",46.5,0.220689655172414
"25","Friday",37,0.213793103448276
"26","Saturday",30.5,0.193103448275862
"27","Sunday",35.1,0.172413793103448
"28","Monday",35.7,0.213793103448276
"29","Tuesday",33.8,0.0413793103448276
"30","Wednesday",36.8,0.0344827586206897
"31","Thursday",15.7,0.0275862068965517
"32","Friday",17.6,0.0827586206896552
"33","Saturday",23.5,0.331034482758621
"34","Sunday",35.4,0.413793103448276
"35","Monday",39.7,0.351724137931034
"36","Tuesday",43,0.179310344827586
"37","Wednesday",39.1,0.296551724137931
"38","Thursday",39.1,0.303448275862069
"39","Friday",40.6,0.144827586206897
"40","Saturday",31.5,0.413793103448276
"41","Sunday",28.7,0.441379310344828
"42","Monday",30.7,0.158620689655172
"43","Tuesday",29.4,0.262068965517241
"44","Wednesday",41.1,0.262068965517241
"45","Thursday",35.5,0.524137931034483
"46","Friday",39.8,0.289655172413793
"47","Saturday",41.1,0.455172413793103
"48","Sunday",30.9,0.482758620689655
"49","Monday",32.8,0.220689655172414
"50","Tuesday",25.9,0.137931034482759
"51","Wednesday",26.7,0.255172413793103
"52","Thursday",36.8,0.303448275862069
"53","Friday",38.3,0.296551724137931
"54","Saturday",34.8,0.303448275862069
"55","Sunday",40.5,0.275862068965517
"56","Monday",38.7,0.213793103448276
"57","Tuesday",29.2,0.227586206896552
"58","Wednesday",21.6,0.23448275862069
"59","Thursday",26,0.137931034482759
"60","Friday",26.7,0.131034482758621
"61","Saturday",35.1,0.406896551724138
"62","Sunday",34.5,0.351724137931034
"63","Monday",37.9,0.2
"64","Tuesday",28.2,0.0827586206896552
"65","Wednesday",25.4,0.206896551724138
"66","Thursday",22.1,0.227586206896552
"67","Friday",27.2,0.372413793103448
"68","Saturday",35.1,0.468965517241379
"69","Sunday",36.8,0.427586206896552
"70","Monday",41.7,0.337931034482759
"71","Tuesday",38.6,0.172413793103448
"72","Wednesday",34.5,0.372413793103448
"73","Thursday",39,0.317241379310345
"74","Friday",45.3,0.4
"75","Saturday",46.9,0.827586206896552
"76","Sunday",36.3,0.43448275862069
"77","Monday",34.5,0.420689655172414
"78","Tuesday",35.2,0.351724137931034
"79","Wednesday",36.9,0.16551724137931
"80","Thursday",40.7,0.427586206896552
"81","Friday",42.3,0.406896551724138
"82","Saturday",39.3,0.572413793103448
"83","Sunday",39.1,0.455172413793103
"84","Monday",42.5,0.248275862068966
"85","Tuesday",36.9,0.248275862068966
"86","Wednesday",34.4,0.379310344827586
"87","Thursday",36.3,0.475862068965517
"88","Friday",44.4,0.420689655172414
"89","Saturday",46.1,0.386206896551724
"90","Sunday",49.2,0.627586206896552
"91","Monday",41.8,0.420689655172414
"92","Tuesday",37.1,0.255172413793103
"93","Wednesday",43.7,0.268965517241379
"94","Thursday",44.5,0.379310344827586
"95","Friday",39.4,0.303448275862069
"96","Saturday",46.3,0.606896551724138
"97","Sunday",45.3,0.620689655172414
"98","Monday",46.2,0.517241379310345
"99","Tuesday",41.4,0.427586206896552
"100","Wednesday",41.8,0.096551724137931
"101","Thursday",40.3,0.310344827586207
"102","Friday",43.8,0.186206896551724
"103","Saturday",49.7,0.468965517241379
"104","Sunday",50.8,0.317241379310345
"105","Monday",52,0.220689655172414
"106","Tuesday",47.1,0.441379310344828
"107","Wednesday",47.5,0.289655172413793
"108","Thursday",43.7,0.303448275862069
"109","Friday",53.7,0.213793103448276
"110","Saturday",54.5,0.544827586206897
"111","Sunday",52.2,0.710344827586207
"112","Monday",52.1,0.427586206896552
"113","Tuesday",48.8,0.351724137931034
"114","Wednesday",51.5,0.275862068965517
"115","Thursday",47.7,0.462068965517241
"116","Friday",46.8,0.358620689655172
"117","Saturday",52.9,0.4
"118","Sunday",46.9,0.441379310344828
"119","Monday",47.8,0.275862068965517
"120","Tuesday",45.6,0.393103448275862
"121","Wednesday",46.9,0.351724137931034
"122","Thursday",49.4,0.289655172413793
"123","Friday",47.3,0.36551724137931
"124","Saturday",51.3,0.544827586206897
"125","Sunday",46.9,0.758620689655172
"126","Monday",48.1,0.510344827586207
"127","Tuesday",48.3,0.386206896551724
"128","Wednesday",53,0.620689655172414
"129","Thursday",47.7,0.413793103448276
"130","Friday",48.4,0.56551724137931
"131","Saturday",56.8,0.351724137931034
"132","Sunday",45.7,0.420689655172414
"133","Monday",46.1,0.551724137931034
"134","Tuesday",44.9,0.468965517241379
"135","Wednesday",48.5,0.462068965517241
"136","Thursday",53.3,0.379310344827586
"137","Friday",52.3,0.524137931034483
"138","Saturday",56.7,0.641379310344828
"139","Sunday",52,0.827586206896552
"140","Monday",57.2,0.482758620689655
"141","Tuesday",58.9,0.379310344827586
"142","Wednesday",56.7,0.531034482758621
"143","Thursday",52.5,0.641379310344828
"144","Friday",59.3,0.56551724137931
"146","Sunday",57.6,0.889655172413793
"147","Monday",62.1,0.551724137931034
"148","Tuesday",51.6,0.379310344827586
"149","Wednesday",54.6,0.420689655172414
"150","Thursday",51.3,0.406896551724138
"151","Friday",58.2,0.56551724137931
"153","Sunday",56.9,0.689655172413793
"154","Monday",60.4,0.268965517241379
"155","Tuesday",58.5,0.558620689655172
"156","Wednesday",59.8,0.455172413793103
"157","Thursday",62,0.475862068965517
"158","Friday",59.8,0.620689655172414
"160","Sunday",57.7,0.703448275862069
"161","Monday",59.4,0.496551724137931
"162","Tuesday",63.7,0.572413793103448
"163","Wednesday",62.9,0.427586206896552
"164","Thursday",56.7,0.386206896551724
"165","Friday",61.7,0.606896551724138
"166","Saturday",62.7,0.655172413793103
"167","Sunday",62.8,0.744827586206897
"168","Monday",66,0.420689655172414
"169","Tuesday",60.4,0.455172413793103
"170","Wednesday",62.3,0.420689655172414
"171","Thursday",61,0.289655172413793
"172","Friday",63.2,0.344827586206897
"173","Saturday",64.7,0.593103448275862
"174","Sunday",65.7,0.758620689655172
"175","Monday",68.5,0.524137931034483
"176","Tuesday",61.5,0.310344827586207
"177","Wednesday",67.3,0.468965517241379
"178","Thursday",61.4,0.386206896551724
"179","Friday",66.8,0.558620689655172
"181","Sunday",69.3,1
"183","Tuesday",67.9,0.420689655172414
"184","Wednesday",70.2,0.344827586206897
"185","Thursday",66.6,0.924137931034483
"187","Saturday",68.9,0.731034482758621
"188","Sunday",69,0.882758620689655
"189","Monday",64.9,0.413793103448276
"190","Tuesday",69,0.420689655172414
"191","Wednesday",71.5,0.503448275862069
"192","Thursday",66.8,0.593103448275862
"193","Friday",70.8,0.468965517241379
"195","Sunday",71.8,0.903448275862069
"196","Monday",73.1,0.331034482758621
"197","Tuesday",70.3,0.517241379310345
"198","Wednesday",70.9,0.303448275862069
"199","Thursday",71.4,0.441379310344828
"200","Friday",69.2,0.572413793103448
"201","Saturday",76.2,0.56551724137931
"202","Sunday",76.7,0.855172413793103
"203","Monday",76.5,0.296551724137931
"204","Tuesday",70.4,0.282758620689655
"205","Wednesday",66.1,0.206896551724138
"206","Thursday",69.5,0.379310344827586
"207","Friday",67.1,0.4
"208","Saturday",67.1,0.737931034482759
"209","Sunday",66.9,0.83448275862069
"210","Monday",72.8,0.572413793103448
