"","dow","temp","TOTAL_CRIMES"
"2","Wednesday",35,0.620553359683794
"3","Thursday",39.4,0.812252964426877
"4","Friday",39,0.845849802371542
"5","Saturday",43.8,0.891304347826087
"6","Sunday",39.7,0.638339920948617
"7","Monday",27.4,0.662055335968379
"8","Tuesday",36.3,0.711462450592885
"9","Wednesday",44.4,0.573122529644269
"10","Thursday",34.9,0.681818181818182
"11","Friday",28.6,0.875494071146245
"12","Saturday",23.1,0.656126482213439
"13","Sunday",26,0.458498023715415
"14","Monday",32.8,0.58102766798419
"15","Tuesday",29.4,0.705533596837945
"16","Wednesday",31.3,0.709486166007905
"17","Thursday",29.4,0.616600790513834
"18","Friday",33.2,0.646245059288538
"19","Saturday",34.5,0.357707509881423
"20","Sunday",43.2,0.300395256916996
"21","Monday",13.7,0.424901185770751
"22","Tuesday",15.8,0.563241106719368
"23","Wednesday",31.6,0.634387351778656
"24","Thursday",46.5,0.525691699604743
"25","Friday",37,0.484189723320158
"26","Saturday",30.5,0.377470355731225
"27","Sunday",35.1,0.361660079051383
"28","Monday",35.7,0.355731225296443
"29","Tuesday",33.8,0.302371541501976
"30","Wednesday",36.8,0
"31","Thursday",15.7,0.233201581027668
"32","Friday",17.6,0.859683794466403
"33","Saturday",23.5,0.75296442687747
"34","Sunday",35.4,0.50395256916996
"35","Monday",39.7,0.780632411067194
"36","Tuesday",43,0.616600790513834
"37","Wednesday",39.1,0.58300395256917
"38","Thursday",39.1,0.650197628458498
"39","Friday",40.6,0.594861660079051
"40","Saturday",31.5,0.820158102766798
"41","Sunday",28.7,0.58695652173913
"42","Monday",30.7,0.563241106719368
"43","Tuesday",29.4,0.640316205533597
"44","Wednesday",41.1,0.596837944664032
"45","Thursday",35.5,0.792490118577075
"46","Friday",39.8,0.790513833992095
"47","Saturday",41.1,0.66403162055336
"48","Sunday",30.9,0.547430830039526
"49","Monday",32.8,0.492094861660079
"50","Tuesday",25.9,0.537549407114625
"51","Wednesday",26.7,0.58102766798419
"52","Thursday",36.8,0.701581027667984
"53","Friday",38.3,0.733201581027668
"54","Saturday",34.8,0.604743083003953
"55","Sunday",40.5,0.407114624505929
"56","Monday",38.7,0.505928853754941
"57","Tuesday",29.2,0.529644268774704
"58","Wednesday",21.6,0.608695652173913
"59","Thursday",26,0.50197628458498
"60","Friday",26.7,0.820158102766798
"61","Saturday",35.1,0.640316205533597
"62","Sunday",34.5,0.41501976284585
"63","Monday",37.9,0.401185770750988
"64","Tuesday",28.2,0.397233201581028
"65","Wednesday",25.4,0.569169960474308
"66","Thursday",22.1,0.531620553359684
"67","Friday",27.2,0.745059288537549
"68","Saturday",35.1,0.545454545454545
"69","Sunday",36.8,0.535573122529644
"70","Monday",41.7,0.709486166007905
"71","Tuesday",38.6,0.565217391304348
"72","Wednesday",34.5,0.685770750988142
"73","Thursday",39,0.662055335968379
"74","Friday",45.3,0.778656126482213
"75","Saturday",46.9,0.839920948616601
"76","Sunday",36.3,0.535573122529644
"77","Monday",34.5,0.612648221343874
"78","Tuesday",35.2,0.598814229249012
"79","Wednesday",36.9,0.695652173913043
"80","Thursday",40.7,0.687747035573123
"81","Friday",42.3,0.727272727272727
"82","Saturday",39.3,0.689723320158103
"83","Sunday",39.1,0.606719367588933
"84","Monday",42.5,0.588932806324111
"85","Tuesday",36.9,0.654150197628458
"86","Wednesday",34.4,0.705533596837945
"87","Thursday",36.3,0.675889328063241
"88","Friday",44.4,0.660079051383399
"89","Saturday",46.1,0.636363636363636
"90","Sunday",49.2,0.58498023715415
"91","Monday",41.8,0.895256916996047
"92","Tuesday",37.1,0.624505928853755
"93","Wednesday",43.7,0.6699604743083
"94","Thursday",44.5,0.636363636363636
"95","Friday",39.4,0.719367588932806
"96","Saturday",46.3,0.794466403162055
"97","Sunday",45.3,0.715415019762846
"98","Monday",46.2,0.796442687747036
"99","Tuesday",41.4,0.695652173913043
"100","Wednesday",41.8,0.628458498023715
"101","Thursday",40.3,0.800395256916996
"102","Friday",43.8,0.867588932806324
"103","Saturday",49.7,0.816205533596838
"104","Sunday",50.8,0.385375494071146
"105","Monday",52,0.756916996047431
"106","Tuesday",47.1,0.725296442687747
"107","Wednesday",47.5,0.693675889328063
"108","Thursday",43.7,0.567193675889328
"109","Friday",53.7,0.610671936758893
"110","Saturday",54.5,0.768774703557312
"111","Sunday",52.2,0.600790513833992
"112","Monday",52.1,0.782608695652174
"113","Tuesday",48.8,0.794466403162055
"114","Wednesday",51.5,0.713438735177866
"115","Thursday",47.7,0.841897233201581
"116","Friday",46.8,0.83201581027668
"117","Saturday",52.9,0.569169960474308
"118","Sunday",46.9,0.523715415019763
"119","Monday",47.8,0.743083003952569
"120","Tuesday",45.6,0.766798418972332
"121","Wednesday",46.9,0.940711462450593
"122","Thursday",49.4,0.707509881422925
"123","Friday",47.3,0.889328063241107
"124","Saturday",51.3,0.707509881422925
"125","Sunday",46.9,0.865612648221344
"126","Monday",48.1,0.891304347826087
"127","Tuesday",48.3,0.709486166007905
"128","Wednesday",53,0.826086956521739
"129","Thursday",47.7,0.782608695652174
"130","Friday",48.4,0.903162055335968
"131","Saturday",56.8,0.701581027667984
